player,team,league,progression_score,defensive_score,attacking_score,age
Jakub Kiwior,Arsenal,ENG-Premier League,79.15,65.1,32.83,24
Oleksandr Zinchenko,Arsenal,ENG-Premier League,78.02,83.3,76.9,27
Takehiro Tomiyasu,Arsenal,ENG-Premier League,55.28,54.8,27.2,25
Lucas Digne,Aston Villa,ENG-Premier League,59.68,62.3,84.79,30
Álex Moreno,Aston Villa,ENG-Premier League,50.48,62.27,65.8,30
Lloyd Kelly,Bournemouth,ENG-Premier League,74.78,61.84,39.92,25
Milos Kerkez,Bournemouth,ENG-Premier League,46.58,78.48,53.13,20
Igor,Brighton,ENG-Premier League,78.66,67.18,23.99,26
Pervis Estupiñán,Brighton,ENG-Premier League,79.86,65.69,79.88,26
Tariq Lamptey,Brighton,ENG-Premier League,55.45,33.57,42.6,23
Charlie Taylor,Burnley,ENG-Premier League,56.66,74.6,62.54,30
Ben Chilwell,Chelsea,ENG-Premier League,42.95,57.26,61.34,27
Levi Colwill,Chelsea,ENG-Premier League,88.51,91.67,46.88,21
Marc Cucurella,Chelsea,ENG-Premier League,69.58,71.58,35.44,25
Tyrick Mitchell,Crystal Palace,ENG-Premier League,68.28,88.66,70.94,24
Vitaliy Mykolenko,Everton,ENG-Premier League,58.39,87.67,63.34,24
Antonee Robinson,Fulham,ENG-Premier League,72.98,97.26,84.3,26
Andrew Robertson,Liverpool,ENG-Premier League,81.06,69.52,75.23,30
Kostas Tsimikas,Liverpool,ENG-Premier League,50.87,56.98,61.66,27
Joško Gvardiol,Manchester City,ENG-Premier League,75.04,85.13,49.42,22
Luke Shaw,Manchester Utd,ENG-Premier League,65.57,56.35,45.87,28
Dan Burn,Newcastle Utd,ENG-Premier League,69.41,89.37,54.58,31
Valentino Livramento,Newcastle Utd,ENG-Premier League,56.74,61.3,55.4,21
Harry Toffolo,Nott'ham Forest,ENG-Premier League,56.27,64.28,70.83,28
Nuno Tavares,Nott'ham Forest,ENG-Premier League,63.51,21.24,37.93,24
Ola Aina,Nott'ham Forest,ENG-Premier League,75.13,57.65,49.42,27
Destiny Udogie,Tottenham,ENG-Premier League,73.69,94.79,73.25,21
Emerson Palmieri,West Ham,ENG-Premier League,78.19,87.02,81.48,29
Javi López,Alavés,ESP-La Liga,65.48,56.12,75.69,22
Rubén Duarte,Alavés,ESP-La Liga,75.41,70.64,60.97,28
Bruno Langa,Almería,ESP-La Liga,59.25,29.12,5.56,26
Sergio Akieme,Almería,ESP-La Liga,55.36,61.81,74.87,26
Álex Centelles,Almería,ESP-La Liga,61.94,32.66,50.01,26
Iñigo Lekue,Athletic Club,ESP-La Liga,77.92,69.16,55.84,30
Yuri Berchiche,Athletic Club,ESP-La Liga,81.44,72.3,59.57,34
Alejandro Balde,Barcelona,ESP-La Liga,61.96,62.66,62.49,20
João Cancelo,Barcelona,ESP-La Liga,72.31,87.51,83.5,29
Abner,Betis,ESP-La Liga,76.36,67.61,46.64,23
Juan Miranda,Betis,ESP-La Liga,84.82,65.64,67.94,24
Manu Sánchez,Celta Vigo,ESP-La Liga,71.45,72.6,75.42,23
Mihailo Ristić,Celta Vigo,ESP-La Liga,59.63,46.95,45.61,28
Javi Hernández,Cádiz,ESP-La Liga,78.87,63.16,75.72,25
Lucas,Cádiz,ESP-La Liga,52.16,69.66,71.26,23
Diego Rico,Getafe,ESP-La Liga,68.13,82.68,81.46,31
Miguel Gutiérrez,Girona,ESP-La Liga,62.28,72.41,87.98,22
Carlos Neva,Granada,ESP-La Liga,83.12,72.94,65.5,27
Álvaro Carreras,Granada,ESP-La Liga,47.48,35.68,57.89,21
Sergi Cardona,Las Palmas,ESP-La Liga,82.13,95.52,85.89,24
