player,team,league,deep_lying_playmaker_score,ball_winner_score,dribbler_score,final_third_score,age
Declan Rice,Arsenal,ENG-Premier League,93.64359670691064,94.26188517957958,87.22312454009176,54.00779602631386,24
Jorginho,Arsenal,ENG-Premier League,71.4106988683457,59.71072102954288,39.88508806410704,37.50113210673668,31
Kai Havertz,Arsenal,ENG-Premier League,53.15976113065396,72.22483982377067,61.695727922610224,90.0627061360644,24
Martin Ødegaard,Arsenal,ENG-Premier League,85.15471277978322,71.84129833643927,81.92299327811696,81.87622318921301,24
Thomas Partey,Arsenal,ENG-Premier League,58.954132460183864,49.83510083940181,54.90742065818115,38.65098137965631,30
Boubacar Kamara,Aston Villa,ENG-Premier League,65.72296564600425,71.8231149167072,61.72199063247314,34.51199740785279,23
Douglas Luiz,Aston Villa,ENG-Premier League,81.55270403836846,80.72681365404523,80.90759655470457,62.05164097701213,25
Jacob Ramsey,Aston Villa,ENG-Premier League,23.61304689683562,40.96840633115417,51.607877644332056,83.59599576739726,22
John McGinn,Aston Villa,ENG-Premier League,77.56053994701077,80.5316322361019,75.35294361756799,73.03853948682911,28
Leon Bailey,Aston Villa,ENG-Premier League,49.3707314857842,48.35938576404546,84.80714928914466,96.1175812637241,25
Morgan Rogers,Aston Villa,ENG-Premier League,28.375070813267456,19.453270765383294,50.647556959337884,81.66943938654117,21
Nicolò Zaniolo,Aston Villa,ENG-Premier League,22.751796033975346,28.75738868357076,54.15458825849099,86.8040855427764,24
Youri Tielemans,Aston Villa,ENG-Premier League,72.10626584699672,68.49271666066007,59.015339736062124,56.16039190005881,26
Christian Nørgaard,Brentford,ENG-Premier League,86.6825361122675,89.30671961499166,55.66049119807294,49.446268042101785,29
Frank Onyeka,Brentford,ENG-Premier League,35.358529309988185,59.74022045604125,46.72960097983766,70.98250927744678,25
Mathias Jensen,Brentford,ENG-Premier League,76.47837689726934,76.05402120526104,62.22906778143095,53.861390612440516,27
Mikkel Damsgaard,Brentford,ENG-Premier League,54.200107616923724,57.30790999491817,54.492319326836856,53.50959566528197,23
Vitaly Janelt,Brentford,ENG-Premier League,78.36213435409401,79.27927888267247,63.059710740075424,50.928642478427875,25
James Milner,Brighton,ENG-Premier League,52.063802995996845,45.876820792517776,31.704262683526448,42.06687223489322,37
Aaron Ramsey,Burnley,ENG-Premier League,0.0,32.173012618572756,22.494083697369486,54.73019958114692,20
Jacob Bruun Larsen,Burnley,ENG-Premier League,34.74908673576989,35.208670925115094,75.13465969026406,86.49714578099157,24
Josh Brownhill,Burnley,ENG-Premier League,66.72239963059475,79.5256567869893,51.49471770679758,47.86998436443869,27
Josh Cullen,Burnley,ENG-Premier League,77.58394941303337,64.04795332486904,57.51136572728125,40.24461244041436,27
