player,team,league,poacher_score,outlet_score,deep_lying_score,dribbler_score,creator_score,target_man_score,age
Eddie Nketiah,Arsenal,ENG-Premier League,66.72378863143001,64.41533246861223,27.81706698203457,60.583327385249106,57.71876794214561,63.06735689008374,24
Gabriel Jesus,Arsenal,ENG-Premier League,66.23272629331873,59.462533376796834,39.32107890914503,71.90090736945983,74.36724985731296,47.82546919561009,27
Moussa Diaby,Aston Villa,ENG-Premier League,63.10305140861557,59.49723141871869,52.35045055058819,82.70886730641931,91.95277927891223,18.794859623745356,24
Ollie Watkins,Aston Villa,ENG-Premier League,82.16800015757315,60.37027742943714,41.92510623925214,62.158197250529824,84.50721440910624,66.73336035907276,28
Dominic Solanke,Bournemouth,ENG-Premier League,80.44240545569372,70.64060530769302,28.865866550893283,58.600569773921954,73.42925327760521,80.66293563482077,26
Bryan Mbeumo,Brentford,ENG-Premier League,62.9091297414636,78.40148461388293,57.482445905258295,88.75902839055654,83.34082816971137,54.117377735360904,24
Ivan Toney,Brentford,ENG-Premier League,56.349027366427194,64.56315879864395,82.97182837156542,55.951887508281686,69.11432432834076,70.13963492046095,28
Neal Maupay,Brentford,ENG-Premier League,70.82633527847526,61.45651795588949,53.81122969288881,68.02214505778721,82.6541048964027,56.622221969310004,27
Yoane Wissa,Brentford,ENG-Premier League,62.411345105364255,73.93581991363276,49.84997085508641,65.82318526102544,71.94676131345011,67.41125832874054,27
Danny Welbeck,Brighton,ENG-Premier League,45.983626631739035,42.429288468423316,55.434012090729304,52.64400441615427,68.90051743160186,41.1869377591981,33
Evan Ferguson,Brighton,ENG-Premier League,43.20281692651709,40.01319273226811,50.003203968313294,35.92791584555033,49.37920569916475,50.21208930574295,19
João Pedro,Brighton,ENG-Premier League,57.994059327558375,65.74054921375526,41.599548925370264,79.9550701490307,73.60639750275844,53.84671795311549,22
David Datro Fofana,Burnley,ENG-Premier League,76.25594399245875,78.76818688338052,59.83131358917907,58.20844756802317,42.05220273603128,60.00640485683072,21
Jay Rodriguez,Burnley,ENG-Premier League,45.03707411689515,12.075453880990862,57.8286603857288,10.53774735053727,44.481302565603556,70.5659117348416,34
Lyle Foster,Burnley,ENG-Premier League,53.793404125424935,88.13472226207887,40.979537312126,74.55451938824447,63.373587270896024,78.71419393111977,23
Zeki Amdouni,Burnley,ENG-Premier League,46.45287393255558,76.81240343480657,52.325428738467295,81.97043478209925,64.23761300550422,55.29492584972549,23
Armando Broja,Chelsea,ENG-Premier League,73.31231153629997,73.09252336781465,14.356744882169226,73.86169830036677,45.92416338277099,43.8103642502373,22
Nicolas Jackson,Chelsea,ENG-Premier League,64.36287687473143,66.44927968057507,51.16728390826398,63.4550925759917,70.29273818405838,58.82158227984793,22
Jean-Philippe Mateta,Crystal Palace,ENG-Premier League,52.758792977513146,65.25570401378452,29.419866572749914,52.82914686902163,80.79968106297089,74.31942462263528,26
Odsonne Édouard,Crystal Palace,ENG-Premier League,69.37854989453962,73.80739192947692,38.718140075646,76.2992956731998,68.56507635097637,67.50467980812061,26
Abdoulaye Doucouré,Everton,ENG-Premier League,59.726257685810126,55.04693238888658,57.316993527423335,69.82995407421349,76.93789146125356,49.138534095234334,31
Beto,Everton,ENG-Premier League,72.7158269630291,67.40300018936077,34.5534848437848,63.58792550310709,70.78550933562789,77.75842132186759,26
Dominic Calvert-Lewin,Everton,ENG-Premier League,67.17686860320133,81.67939976367768,38.98501698250633,59.99730506847442,65.65830291832235,94.0158646145255,27
Raúl Jiménez,Fulham,ENG-Premier League,55.70666658280914,46.88468322865161,48.22336762859818,44.43808524876878,58.91051166345349,75.0063738675145,32
Rodrigo Muniz,Fulham,ENG-Premier League,83.36206090603278,37.65667065463899,36.93428545277191,11.108090998148725,69.15675264665929,86.67886213745615,22
Cody Gakpo,Liverpool,ENG-Premier League,58.594440200573395,61.41759172580903,56.493820411170134,68.52186980842319,64.90113909410871,57.25113927661305,24
Darwin Núñez,Liverpool,ENG-Premier League,85.37417020128706,69.12972656253532,45.473589465594294,69.30461358856846,81.32999626887208,57.34706186667013,24
Carlton Morris,Luton Town,ENG-Premier League,52.9570357024416,63.913867308387495,61.88695275538725,52.90556934024497,72.44002540577603,88.02057620550292,28
Elijah Adebayo,Luton Town,ENG-Premier League,92.8318563359658,65.43611866541701,9.635233226671584,65.55520876171674,62.9603708069684,76.07975859375597,26
Erling Haaland,Manchester City,ENG-Premier League,83.30182177870297,40.97768040742302,34.2718844115118,32.75295441306694,68.28593837907594,61.91346096475184,23
Anthony Martial,Manchester Utd,ENG-Premier League,66.44013057568067,53.22565259228382,44.7315030724986,52.44771963410116,65.08268575701194,57.80092537973383,28
Rasmus Højlund,Manchester Utd,ENG-Premier League,67.52707133007874,64.89752347963302,39.24703195210114,54.70583365717282,69.8170552848439,62.80317755711344,21
Alexander Isak,Newcastle Utd,ENG-Premier League,78.54135618828633,70.11415202453796,60.806724149823445,72.3898359050275,69.57010522989488,38.80686479790286,24
Callum Wilson,Newcastle Utd,ENG-Premier League,90.0845113193964,53.54952936618109,17.79145036756998,58.3973347453169,28.205416757097503,51.382377902601874,32
Chris Wood,Nott'ham Forest,ENG-Premier League,85.44215218791344,46.603233042741124,64.55286817786363,37.235253038935745,81.07643198955424,81.25603454105186,32
Taiwo Awoniyi,Nott'ham Forest,ENG-Premier League,78.18283579129826,60.34865296114816,36.953926371737374,50.36238200180816,81.00182587031667,74.21651467281472,26
Cameron Archer,Sheffield Utd,ENG-Premier League,60.963650471770755,74.10315195550703,31.585968888407912,79.79669130779789,69.98388875833987,45.509022537524324,22
Oliver McBurnie,Sheffield Utd,ENG-Premier League,63.74373269978785,33.86067136904724,63.27104329577017,28.033618237847513,74.49028176992591,92.79567990383389,27
William Osula,Sheffield Utd,ENG-Premier League,50.66327733724923,80.5325818596474,21.076205129073227,52.90991442756201,23.923161796541642,82.24632960970317,20
Richarlison,Tottenham,ENG-Premier League,76.12148664707048,52.16285099388502,37.88174675829882,55.66447299062168,61.13995419783828,61.230397629786914,26
Son Heung-min,Tottenham,ENG-Premier League,64.89846491988057,46.35530243145936,62.400640488504465,70.76229601148881,89.13633422516104,15.330020819185366,31
Michail Antonio,West Ham,ENG-Premier League,53.08592552406369,91.95938974917219,50.05382827917243,74.74301566369913,72.20565407466081,70.35144809292284,34
Hwang Hee-chan,Wolves,ENG-Premier League,68.73960275462781,54.269770862798026,45.86859153859147,69.83201810405357,70.08439564879578,38.8686013543043,28
Matheus Cunha,Wolves,ENG-Premier League,59.35579276728099,77.62324385639306,58.180581148101176,96.61358485588207,76.95999074639533,47.67843117153273,24
Kiké,Alavés,ESP-La Liga,77.44116202892141,67.42419679207264,42.01691148491326,56.73548548428546,72.96484028437924,75.64051054391896,34
Samuel Omorodion,Alavés,ESP-La Liga,81.00576348068222,74.59678435443513,36.43323778240039,67.91912345003529,58.95671190917543,77.78829765363379,19
Anthony Lozano,Almería,ESP-La Liga,41.46521674860841,67.48236506834422,60.663533481484045,49.13932432847714,11.575452574463728,69.7502173346212,30
Luis Javier Suárez,Almería,ESP-La Liga,80.9673107530534,91.4434929588338,51.06948087034948,83.95265511424986,63.12563959929617,55.2325922730199,26
Léo Baptistão,Almería,ESP-La Liga,51.601430748526354,58.40587756795864,71.55244831094313,49.76146903819647,62.20709176218071,74.313882528579,31
Gorka Guruzeta,Athletic Club,ESP-La Liga,64.69704057896634,37.15112102122186,60.09459761203107,31.472476507597058,71.79509296416228,79.62845769756939,27
Antoine Griezmann,Atlético Madrid,ESP-La Liga,51.49935701166408,24.88683620824837,73.49445028838144,52.607057449335024,82.39837036541041,33.77490641405669,33
