player,team,league,Progression Score,Defensive Score,Attacking Score,age
Jakub Kiwior,Arsenal,ENG-Premier League,72.85663351025575,54.09855909870457,29.82262084345322,23
Oleksandr Zinchenko,Arsenal,ENG-Premier League,73.40868816806292,72.1647375344761,73.50868159751491,26
Takehiro Tomiyasu,Arsenal,ENG-Premier League,52.05500698906543,58.57424143214289,36.00189234004417,24
Lucas Digne,Aston Villa,ENG-Premier League,57.51762645770491,73.93883352670854,83.11362713673635,30
Álex Moreno,Aston Villa,ENG-Premier League,34.41770351998119,51.239028231329776,59.0387940752594,30
Lloyd Kelly,Bournemouth,ENG-Premier League,71.7108176426575,58.66480617842128,45.88680328835228,24
Milos Kerkez,Bournemouth,ENG-Premier League,54.46429305349743,71.7803817430702,57.13957482971358,19
Igor,Brighton,ENG-Premier League,84.9833932998054,65.65262414621849,29.46859997904367,25
Pervis Estupiñán,Brighton,ENG-Premier League,71.18796652114133,57.61389592730987,72.83966983186808,25
Tariq Lamptey,Brighton,ENG-Premier League,46.35145819374561,33.302534458920434,49.885482351159396,22
Charlie Taylor,Burnley,ENG-Premier League,52.917378517646405,68.50174842724145,61.84904446154561,29
Ben Chilwell,Chelsea,ENG-Premier League,31.993166621229236,38.598788918617046,52.69562462386249,26
Levi Colwill,Chelsea,ENG-Premier League,82.5491926334157,77.41331977148975,37.40659600597214,20
Marc Cucurella,Chelsea,ENG-Premier League,74.06792738494345,79.41828802973565,53.21302381490419,25
Tyrick Mitchell,Crystal Palace,ENG-Premier League,64.2684648484059,88.42312683440441,74.15113305208718,23
Vitaliy Mykolenko,Everton,ENG-Premier League,51.96218565601735,81.5867897190277,57.86312675262533,24
Antonee Robinson,Fulham,ENG-Premier League,74.53469551236734,96.95062673485907,81.67808530661884,25
Andrew Robertson,Liverpool,ENG-Premier League,80.11066634388911,69.64677289064917,83.31909814658532,29
Kostas Tsimikas,Liverpool,ENG-Premier League,39.82161339193866,41.191710455529595,51.20680664029319,27
Joško Gvardiol,Manchester City,ENG-Premier League,66.3994448369206,89.02732411139704,57.544096100610666,21
Luke Shaw,Manchester Utd,ENG-Premier League,56.4728667539182,39.604031099877375,38.0113429360928,28
Dan Burn,Newcastle Utd,ENG-Premier League,64.12327938735918,89.10913502549928,46.409744092833925,31
Lewis Hall,Newcastle Utd,ENG-Premier League,81.58493118610421,52.39198654143511,36.81598727714494,18
Valentino Livramento,Newcastle Utd,ENG-Premier League,58.697405027394744,58.88526663040241,57.71699211421178,20
Harry Toffolo,Nott'ham Forest,ENG-Premier League,58.616672259595774,56.56465760827357,60.45010479891928,27
Nuno Tavares,Nott'ham Forest,ENG-Premier League,56.33189775067044,5.966631070286138,27.611883278168364,23
Ola Aina,Nott'ham Forest,ENG-Premier League,77.84647371707771,59.466969461921934,62.49736811372435,26
Max Lowe,Sheffield Utd,ENG-Premier League,0.0,26.93051364083502,24.372543237860178,26
Destiny Udogie,Tottenham,ENG-Premier League,70.164440177114,88.80343907192264,65.26867865746658,20
Emerson Palmieri,West Ham,ENG-Premier League,75.25215544122626,84.63108199283896,77.77723827281807,28
Rayan Aït-Nouri,Wolves,ENG-Premier League,56.78154685746076,69.93670425550815,75.26694924068653,22
Javi López,Alavés,ESP-La Liga,59.316866987686225,60.48221352802627,73.25364277955315,22
Rubén Duarte,Alavés,ESP-La Liga,70.92400700943725,65.91911531652616,63.44401985871235,28
Bruno Langa,Almería,ESP-La Liga,74.28684729109021,35.074600519115705,37.56161218427565,26
Sergio Akieme,Almería,ESP-La Liga,47.52441577569361,51.18409422520549,70.90383105879098,26
Álex Centelles,Almería,ESP-La Liga,68.59567277874852,36.036323879791105,53.90882648970425,26
Imanol,Athletic Club,ESP-La Liga,54.07294132581749,12.41885695228099,12.004631303855058,23
Iñigo Lekue,Athletic Club,ESP-La Liga,76.46322349297458,70.63632670163375,54.611097092385045,31
Yuri Berchiche,Athletic Club,ESP-La Liga,84.09241287517858,73.12636863067414,61.65677678263914,34
Alejandro Balde,Barcelona,ESP-La Liga,55.750376653531,53.629754129955344,58.13753988820027,20
João Cancelo,Barcelona,ESP-La Liga,67.21427781873773,89.65658731022933,85.22034204266396,29
Abner,Betis,ESP-La Liga,75.40389790794129,65.16980887978384,43.03823619977349,23
Juan Miranda,Betis,ESP-La Liga,84.19575250708895,71.51595532312072,71.75290884839485,24
Manu Sánchez,Celta Vigo,ESP-La Liga,65.33056656036663,69.96263949778569,72.21510108936538,23
Mihailo Ristić,Celta Vigo,ESP-La Liga,55.4409317966183,37.12111346747502,39.638483127521205,28
Javi Hernández,Cádiz,ESP-La Liga,80.42684226408258,70.20475842231114,81.38645997795287,26
Lucas,Cádiz,ESP-La Liga,50.721322057142494,66.66731561288927,73.79202632221023,23
Diego Rico,Getafe,ESP-La Liga,64.50247875982207,83.91836870768974,83.5995583408601,31
Miguel Gutiérrez,Girona,ESP-La Liga,56.453945379753634,72.00303810135541,90.80593317739006,22
Carlos Neva,Granada,ESP-La Liga,80.83850757235015,77.8823382261358,68.51322657077299,27
Álvaro Carreras,Granada,ESP-La Liga,38.7390884838491,22.678207234882745,52.92320898873576,21
Sergi Cardona,Las Palmas,ESP-La Liga,80.93831212404292,97.23866229069405,86.6317016922952,24
Jaume Costa,Mallorca,ESP-La Liga,69.56506601567467,55.07939655919629,69.86907205755936,36
Toni Lato,Mallorca,ESP-La Liga,52.21803859690842,57.21856453326581,63.11513100725249,26
Johan Mojica,Osasuna,ESP-La Liga,54.324588188913694,60.43240508947587,79.16245840083985,31
Juan Cruz Armada,Osasuna,ESP-La Liga,72.25276007938916,55.082779873593054,24.202865093231964,31
Alfonso Espino,Rayo Vallecano,ESP-La Liga,81.25858557850434,82.80143353688561,78.91964172542501,32
Pep Chavarría,Rayo Vallecano,ESP-La Liga,49.312112623896105,49.25172032709192,65.6937802168565,26
Ferland Mendy,Real Madrid,ESP-La Liga,55.05802243496396,49.03562640098951,41.034368718245965,28
Fran Garcia,Real Madrid,ESP-La Liga,58.346352750158424,60.925051497648475,56.06125007682336,24
Aihen Muñoz,Real Sociedad,ESP-La Liga,58.00885964084787,64.58551588229105,53.70605102569803,26
Javi Galán,Real Sociedad,ESP-La Liga,73.95806704439015,65.69014415083035,54.70946267963146,29
Kieran Tierney,Real Sociedad,ESP-La Liga,74.06118095878537,69.56456653645941,46.45467665311484,26
Adrià Pedrosa,Sevilla,ESP-La Liga,49.572250112316404,70.97026148867546,72.1089769347523,26
Marcos Acuña,Sevilla,ESP-La Liga,75.9937133379053,50.94488604049554,72.593805366685,32
Jesus Vazquez,Valencia,ESP-La Liga,27.33265401600946,45.50445617244201,33.274736030157825,21
José Luis Gayà,Valencia,ESP-La Liga,69.38440245768314,67.25815079302696,78.40560599050255,28
Alberto Moreno,Villarreal,ESP-La Liga,69.24486062723444,55.71284999628793,68.25749618326759,31
Alfonso Pedraza,Villarreal,ESP-La Liga,55.31791638552984,47.73851119097093,74.44997660288843,28
Kristian Arnstad,Anderlecht,BEL-Pro League,32.194989073081395,35.944052356863196,38.260762183099146,20
Ludwig Augustinsson,Anderlecht,BEL-Pro League,56.46291847772944,65.1245687841668,75.66915839367188,30
