Player,Team,Score,Age
Iago Aspas,Celta Vigo,63.82253238855816,36
Serhou Guirassy,Stuttgart,62.848055098068464,28
Aleksei Miranchuk,Atalanta,62.24953044420971,28
Florian Thauvin,Udinese,61.26513553574813,31
Bradley Dack,Sunderland,60.917223851262236,30
Mats Seuntjens,Utrecht,60.683595595859444,32
Luuk de Jong,PSV Eindhoven,60.48371443458384,33
Vincent Janssen,Antwerp,59.931396697772634,29
Deniz Undav,Stuttgart,59.635749411950115,27
Wout Weghorst,Hoffenheim,59.55045979009303,31
Alexis Sánchez,Inter,59.39172255962979,35
Tino Kadewere,Nantes,59.196100880204646,28
Roland Sallai,Freiburg,59.14659276982924,26
Nabil Alioui,Le Havre,59.02403738708157,25
Gerard Moreno,Villarreal,58.87451019274343,32
Wissam Ben Yedder,Monaco,58.72442495621897,33
Kévin Gameiro,Strasbourg,58.703417528979955,36
Marvin Ducksch,Werder Bremen,58.25854964890706,30
Yussuf Poulsen,RB Leipzig,58.239965618609254,29
Marko Arnautović,Inter,58.21167817815805,35
