Player,Team,Score,Age
Serhou Guirassy,Stuttgart,62.848055098068464,28
Aleksei Miranchuk,Atalanta,62.24953044420971,28
Nick Woltemade,Werder Bremen,61.46827398364555,22
Georginio Rutter,Leeds United,60.525595442985555,22
Moussa Diaby,Aston Villa,60.09038188798108,24
Brian Brobbey,Ajax,59.67365075098369,22
Deniz Undav,Stuttgart,59.635749411950115,27
Tino Kadewere,Nantes,59.196100880204646,28
Roland Sallai,Freiburg,59.14659276982924,26
Reda Khadra,Reims,59.096038607088666,22
Nabil Alioui,Le Havre,59.02403738708157,25
Evanilson,Porto,57.7243365743276,24
Mohammed Daramy,Reims,57.707491770452954,22
Lance Duijvestijn,Excelsior,57.6429313242596,25
Jonas Wind,Wolfsburg,57.544008242843745,25
Matthis Abline,Nantes,57.39732253387428,21
Jutglà,Club Brugge,57.33355714948651,25
Manfred Ugalde,Twente,57.29591103082733,21
Vitinha,Marseille,57.25858043251169,24
Yira Sor,Genk,57.24881845729913,23
