Player,Team,Score,Age
Sargis Adamyan,Köln,60.36803384773074,30
Óscar Rodríguez Arnaiz,Getafe,59.0994502745129,25
Milan Đurić,Monza,58.32589417069914,33
André Ayew,Le Havre,58.04976673654654,34
Tijjani Noslin,Hellas Verona,57.113054753986134,24
Ivan Toney,Brentford,54.12435272520761,28
Iago Aspas,Celta Vigo,53.94807835245989,36
Tim Skarke,Darmstadt 98,53.86866299626846,27
Zian Flemming,Millwall,53.360694941172056,25
Marvin Ducksch,Werder Bremen,53.33025080398044,30
Benjamín Rollheiser,Estudiantes,51.980105226650686,22
Serhou Guirassy,Stuttgart,51.821833124952605,28
Willian José,Betis,51.47069677015517,32
Andrea Belotti,Fiorentina,51.43390051874932,30
Deniz Undav,Stuttgart,51.413410663977224,27
Antoine Griezmann,Atlético Madrid,51.338415014402315,33
Bradley Dack,Sunderland,51.17998112762541,30
Vinícius,Grêmio,51.14344967245952,31
Roberto Pereyra,Udinese,51.09170035126751,33
Jonathan David,Lille,51.05920606151047,24
