Player,Team,Score,Age
Loum Tchaouna,Salernitana,48.60498650686316,20
Kenan Yıldız,Juventus,45.71455720455506,18
Oscar Vilhelmsson,Darmstadt 98,44.09943807285048,20
Benjamin Šeško,RB Leipzig,42.75454740689373,20
Mason Burstow,Sunderland,41.492239054038365,20
Renato Marques,América (MG),41.416534178414224,19
Mexx Meerdink,Vitesse,40.26927629170913,20
Rodrigo Varanda,América (MG),39.96448084696488,20
Evan Ferguson,Brighton,39.78763883563867,19
Harry Leonard,Blackburn,39.68810096136009,20
Luis Semedo,Sunderland,37.679269271444795,20
Vivaldo Semedo,Volendam,37.5796960392297,19
Eli Junior Kroupi,Lorient,37.574208032865286,17
Facundo Farías,Colón,37.46918732452858,20
Oumar Diakité,Reims,37.131356776465154,20
Endrick,Palmeiras,35.66786253518338,16
Lucas Stassin,Westerlo,34.86343336542407,19
Marcos Leonardo,Santos,34.230487813364235,19
Richie Omorowa,Excelsior,32.06601020599795,20
Mohamed Sankoh,Heracles Almelo,31.655662852131435,20
