Player,Team,Score,Age
Matheus Cunha,Wolves,63.56610767495795,24
Mohamed El Amine Amoura,Union SG,63.47496554008279,23
Ignace N'Dri,OH Leuven,63.415590089026686,23
Mohammed Daramy,Reims,63.397737399409415,22
Sam Silvera,Middlesbrough,62.24950707895956,23
Liam Delap,Hull City,60.77617008112505,21
Vinicius Júnior,Real Madrid,59.723909584029755,23
Brahima Diarra,Huddersfield,59.510645621415726,20
Rodrigo Varanda,América (MG),59.36806879491587,20
Rodrygo,Real Madrid,59.261113574249684,23
Benedict Hollerbach,Union Berlin,59.254756140150505,22
David Datro Fofana,Union Berlin,59.1809575669093,21
Facundo Farías,Colón,59.03592466658676,20
Jón Dagur Þorsteinsson,OH Leuven,58.77159787183635,25
André Inácio,Estrela,58.617540214312264,22
Haji Wright,Coventry City,58.6032935069681,26
Justin Njinmah,Werder Bremen,58.38577065068502,23
Viktor Gyökeres,Sporting CP,57.97022622476644,25
Endrick,Palmeiras,57.91859818751562,16
Dylan Mbayo,Kortrijk,57.51248678846744,22
