Player,Team,Score,Age
Sinclair Armstrong,QPR,63.58540627692418,20
Norman Bassette,Mechelen,55.72312218873245,19
Brahima Diarra,Huddersfield,55.13522561044108,20
William Osula,Sheffield Utd,54.353943720322945,20
George Ilenikhena,Antwerp,54.03299348325468,17
Endrick,Palmeiras,53.83047572333332,16
Vitor Roque,Ath Paranaense,53.045870300991425,17
Rodrigo Varanda,América (MG),50.345824744816966,20
Kenan Yıldız,Juventus,49.40449766128807,18
Juan Santos,São Paulo,49.0846823889472,20
Ivo Mammini,Gimnasia ELP,48.91707776732326,19
Samuel Omorodion,Alavés,48.42682356961393,19
Renato Marques,América (MG),48.30522177254294,19
Lucca Holanda,Internacional,47.45344193383306,19
Facundo Farías,Colón,46.791261761234146,20
Jerónimo Domina,CA Unión,46.2383384000631,17
Marcos Leonardo,Santos,46.08480840469367,19
Oumar Diakité,Reims,45.857083561253,20
Lequincio Zeefuik,Volendam,45.851254219602424,19
Santiago Castro,Vélez Sarsfield,45.67517114996874,18
