Player,Team,Score,Age
Cristhian Stuani,Girona,62.257353028232025,37
Callum Wilson,Newcastle Utd,61.970904429119265,32
Bas Dost,NEC Nijmegen,58.909890129144905,34
Luuk de Jong,PSV Eindhoven,57.601848631636,33
Michael Santos,Talleres,57.361309703421476,29
Ricky van Wolfswinkel,Twente,57.29086502421109,35
Tarik Tissoudali,Gent,56.70959263207683,31
Jamie Vardy,Leicester City,56.62779860123694,37
Chris Wood,Nott'ham Forest,56.45389349960176,32
Kieffer Moore,Ipswich Town,55.09721525519072,31
Harry Kane,Bayern Munich,54.9677117022213,30
Álvaro Morata,Atlético Madrid,54.90278685523862,31
Robert Mühren,Volendam,54.672099008156586,34
Ángel Correa,Atlético Madrid,53.54939320927737,29
Julio Furch,Santos,53.16576867244047,33
Wesley Saïd,Lens,52.7731027939921,29
Memphis,Atlético Madrid,52.088780867357315,30
Cassiano,Estoril,51.970586003858216,34
Patrick Bamford,Leeds United,51.81791453317065,30
Leonardo Pavoletti,Cagliari,51.234075875781606,35
