Player,Team,Score,Age
Brian Brobbey,Ajax,65.82159683615404,22
Andi Zeqiri,Genk,63.863746097679254,24
George Ilenikhena,Antwerp,61.383571638713796,17
Santiago Giménez,Feyenoord,61.06758152308605,23
Loïs Openda,RB Leipzig,60.94825358231662,24
Tolu Arokodare,Genk,60.790649893611835,23
Mohamed El Amine Amoura,Union SG,60.28455652488306,23
Luis Vázquez,Anderlecht,59.378708392315154,23
Darwin Núñez,Liverpool,58.782364349064544,24
Mohamed Sankoh,Heracles Almelo,58.326982936107946,20
Thiago,Club Brugge,56.32424990890216,22
Alexander Isak,Newcastle Utd,56.19932686356423,24
Yira Sor,Genk,55.45974860341337,23
Rodrigo Muniz,Fulham,55.14699155029479,22
Erling Haaland,Manchester City,55.10758595039919,23
Folarin Balogun,Monaco,54.47198469565195,22
Evanilson,Porto,53.99587358863139,24
Manfred Ugalde,Twente,53.66993179936596,21
Victor Boniface,Leverkusen,53.61110008517767,23
Vitor Roque,Ath Paranaense,53.537628496327194,17
