player,team,league,progression_score,defensive_score,attacking_score,age
Ben White,Arsenal,ENG-Premier League,76.37,91.95,75.26,26
Matty Cash,Aston Villa,ENG-Premier League,51.22,90.1,78.75,26
Adam Smith,Bournemouth,ENG-Premier League,36.78,67.47,56.69,32
Max Aarons,Bournemouth,ENG-Premier League,61.75,59.7,53.71,24
Aaron Hickey,Brentford,ENG-Premier League,44.57,41.38,17.39,21
Jack Hinshelwood,Brighton,ENG-Premier League,33.83,60.98,44.75,18
James Milner,Brighton,ENG-Premier League,49.43,45.33,69.12,38
Joël Veltman,Brighton,ENG-Premier League,38.21,78.08,27.59,32
Connor Roberts,Burnley,ENG-Premier League,65.09,45.48,45.74,28
Lorenz Assignon,Burnley,ENG-Premier League,31.23,49.34,53.5,23
Vitinho,Burnley,ENG-Premier League,54.81,74.48,70.76,24
Malo Gusto,Chelsea,ENG-Premier League,60.16,81.44,77.57,20
Joel Ward,Crystal Palace,ENG-Premier League,68.91,67.33,40.5,34
Nathaniel Clyne,Crystal Palace,ENG-Premier League,52.66,49.17,0.0,33
Ashley Young,Everton,ENG-Premier League,58.02,68.68,78.17,38
Ben Godfrey,Everton,ENG-Premier League,40.97,56.33,37.98,26
Nathan Patterson,Everton,ENG-Premier League,58.02,68.09,64.64,22
Kenny Tete,Fulham,ENG-Premier League,42.5,60.73,34.54,28
Timothy Castagne,Fulham,ENG-Premier League,62.05,84.89,74.14,28
Conor Bradley,Liverpool,ENG-Premier League,38.35,34.24,56.63,20
Joe Gomez,Liverpool,ENG-Premier League,58.51,82.86,62.99,26
Trent Alexander-Arnold,Liverpool,ENG-Premier League,61.52,79.2,98.21,25
Kyle Walker,Manchester City,ENG-Premier League,75.21,84.36,70.41,33
Rico Lewis,Manchester City,ENG-Premier League,33.97,39.71,15.64,19
Aaron Wan-Bissaka,Manchester Utd,ENG-Premier League,58.35,69.85,40.85,26
Diogo Dalot,Manchester Utd,ENG-Premier League,73.57,91.64,81.17,25
Kieran Trippier,Newcastle Utd,ENG-Premier League,64.17,92.18,100.0,33
Gonzalo Montiel,Nott'ham Forest,ENG-Premier League,75.17,44.53,46.37,27
Neco Williams,Nott'ham Forest,ENG-Premier League,43.38,76.69,66.91,22
Serge Aurier,Nott'ham Forest,ENG-Premier League,60.2,57.57,53.18,31
Emerson,Tottenham,ENG-Premier League,61.87,82.73,33.9,25
Pedro Porro,Tottenham,ENG-Premier League,66.42,99.87,91.9,24
Vladimír Coufal,West Ham,ENG-Premier League,57.2,84.36,91.06,31
Andoni Gorosabel,Alavés,ESP-La Liga,83.57,76.22,78.02,27
Nahuel Tenaglia,Alavés,ESP-La Liga,71.09,51.84,20.62,28
Alejandro Pozo Pozo,Almería,ESP-La Liga,51.8,53.81,72.0,25
Pubill,Almería,ESP-La Liga,57.97,64.38,63.56,20
Óscar de Marcos,Athletic Club,ESP-La Liga,79.9,75.15,72.63,35
João Cancelo,Barcelona,ESP-La Liga,69.34,89.13,85.39,29
Jules Koundé,Barcelona,ESP-La Liga,100.0,84.05,60.34,25
Aitor Ruibal,Betis,ESP-La Liga,58.33,61.23,65.44,28
Héctor Bellerín,Betis,ESP-La Liga,72.1,65.99,52.25,29
Youssouf Sabaly,Betis,ESP-La Liga,45.62,41.21,28.48,31
Javier Manquillo,Celta Vigo,ESP-La Liga,26.03,32.28,16.8,29
Kevin Vázquez,Celta Vigo,ESP-La Liga,25.28,50.02,22.25,31
Óscar Mingueza,Celta Vigo,ESP-La Liga,74.04,73.19,95.88,24
Isaac Carcelen,Cádiz,ESP-La Liga,50.25,77.29,69.58,31
Damián Suárez,Getafe,ESP-La Liga,53.9,68.75,71.47,35
Iglesias,Getafe,ESP-La Liga,12.03,70.59,65.2,25
Arnau Martinez,Girona,ESP-La Liga,80.73,63.73,52.1,20
Yan Couto,Girona,ESP-La Liga,62.44,66.6,86.36,21
Ricard Sánchez,Granada,ESP-La Liga,65.43,70.36,83.07,24
Julian Araujo,Las Palmas,ESP-La Liga,61.24,70.9,64.12,22
Álex Suárez,Las Palmas,ESP-La Liga,76.0,82.05,41.4,31
Giovanni González,Mallorca,ESP-La Liga,64.06,74.11,73.06,29
Pablo Maffeo,Mallorca,ESP-La Liga,35.93,51.48,66.52,26
Jesús Areso,Osasuna,ESP-La Liga,64.65,74.35,78.7,24
Rubén Peña,Osasuna,ESP-La Liga,42.44,76.83,73.31,32
Iván Balliu,Rayo Vallecano,ESP-La Liga,61.88,78.54,75.36,32
Dani Carvajal,Real Madrid,ESP-La Liga,56.73,80.26,68.86,32
Lucas Vázquez,Real Madrid,ESP-La Liga,47.01,65.05,74.26,32
Aritz Elustondo,Real Sociedad,ESP-La Liga,52.36,40.48,17.54,30
Hamari Traoré,Real Sociedad,ESP-La Liga,69.24,77.82,78.58,32
Jesús Navas,Sevilla,ESP-La Liga,53.12,65.13,72.11,38
Juanlu Sánchez,Sevilla,ESP-La Liga,69.41,77.06,71.25,20
Dimitri Foulquier,Valencia,ESP-La Liga,64.67,39.51,57.09,31
Thierry Correia,Valencia,ESP-La Liga,61.87,76.59,66.71,25
Adrià Altimira,Villarreal,ESP-La Liga,57.33,56.26,13.73,23
Juan Foyth,Villarreal,ESP-La Liga,68.85,68.2,47.51,26
Kiko Femenía,Villarreal,ESP-La Liga,77.74,55.87,31.22,33
Killian Sardella,Anderlecht,BEL-Pro League,41.51,82.61,65.96,21
Louis Patris,Anderlecht,BEL-Pro League,31.31,75.79,63.38,22
Jelle Bataille,Antwerp,BEL-Pro League,64.23,91.9,89.03,24
Ritchie De Laet,Antwerp,BEL-Pro League,69.84,68.69,39.84,35
Hugo Siquet,Cercle Brugge,BEL-Pro League,22.34,94.68,88.2,21
Jérémy Pétris,Charleroi,BEL-Pro League,36.18,43.44,47.81,26
Denis Odoi,Club Brugge,BEL-Pro League,51.75,52.17,23.46,35
