team,league,high_press_score,deep_block_score,narrow_defense_score,deep_circulation_score,high_retention_score,wide_attack_score
Arsenal,ENG-Premier League,67.79,62.48,15.95,91.16,11.84,0.0
Aston Villa,ENG-Premier League,25.97,0.0,14.07,80.95,0.0,26.27
Bournemouth,ENG-Premier League,56.15,23.31,0.0,46.05,2.39,33.92
Brentford,ENG-Premier League,35.98,70.5,7.14,48.65,0.0,44.43
Brighton,ENG-Premier League,57.35,5.08,9.47,96.25,28.1,6.79
Burnley,ENG-Premier League,30.49,3.78,19.26,65.18,30.01,18.24
Chelsea,ENG-Premier League,65.43,18.84,35.87,90.98,29.65,12.78
Crystal Palace,ENG-Premier League,41.07,52.74,25.19,57.17,31.74,31.84
Everton,ENG-Premier League,42.2,34.57,30.17,32.56,37.07,33.4
Fulham,ENG-Premier League,29.35,18.04,17.77,71.12,38.05,36.8
Liverpool,ENG-Premier League,78.98,14.37,19.5,82.44,3.49,30.15
Luton Town,ENG-Premier League,35.59,7.09,4.61,37.81,31.41,58.34
Manchester City,ENG-Premier League,73.24,13.84,26.83,99.66,52.9,13.2
Manchester Utd,ENG-Premier League,52.74,17.9,31.23,73.85,18.95,21.51
Newcastle Utd,ENG-Premier League,46.75,27.63,10.33,74.88,1.87,36.91
Nott'ham Forest,ENG-Premier League,14.21,60.43,21.81,50.97,17.85,31.23
Sheffield Utd,ENG-Premier League,21.29,26.0,17.62,30.26,16.74,16.31
Tottenham,ENG-Premier League,90.75,0.37,74.12,92.41,22.23,0.03
West Ham,ENG-Premier League,18.21,29.56,8.02,51.37,27.71,68.26
Wolves,ENG-Premier League,29.5,26.56,2.33,76.67,36.32,38.91
Alavés,ESP-La Liga,21.18,58.55,43.71,26.9,26.05,71.38
Almería,ESP-La Liga,17.86,38.6,65.09,53.73,44.62,53.8
Athletic Club,ESP-La Liga,52.21,41.48,80.38,60.05,43.68,39.47
Atlético Madrid,ESP-La Liga,30.51,69.19,33.14,76.1,17.77,52.02
Barcelona,ESP-La Liga,63.49,24.99,66.0,93.52,45.36,44.08
Betis,ESP-La Liga,40.63,49.83,35.23,68.55,27.21,42.76
Celta Vigo,ESP-La Liga,27.66,44.43,53.64,58.72,46.09,37.57
Cádiz,ESP-La Liga,28.4,73.82,38.2,24.27,86.01,68.47
Getafe,ESP-La Liga,47.28,29.45,51.43,24.14,54.3,95.35
Girona,ESP-La Liga,26.0,35.38,53.32,86.28,23.55,48.84
Granada,ESP-La Liga,23.25,40.9,56.31,45.7,20.08,48.07
Las Palmas,ESP-La Liga,48.84,15.68,60.62,80.96,100.0,14.24
Mallorca,ESP-La Liga,16.9,90.47,32.93,34.46,38.62,62.21
Osasuna,ESP-La Liga,32.85,36.44,54.32,40.83,85.06,50.13
Rayo Vallecano,ESP-La Liga,36.58,40.02,55.51,47.04,71.39,55.54
Real Madrid,ESP-La Liga,42.39,70.42,79.21,96.04,43.23,47.37
Real Sociedad,ESP-La Liga,65.77,53.34,58.66,68.83,52.81,40.03
Sevilla,ESP-La Liga,37.23,39.5,55.22,58.43,87.86,87.94
Valencia,ESP-La Liga,23.06,49.72,49.42,53.18,72.65,46.49
Villarreal,ESP-La Liga,31.54,40.29,79.98,69.75,22.61,45.47
Anderlecht,BEL-Pro League,66.44,61.82,47.29,61.87,42.2,46.03
Antwerp,BEL-Pro League,53.82,29.81,44.33,71.39,22.65,34.78
Cercle Brugge,BEL-Pro League,99.12,8.77,88.22,7.67,11.18,6.98
Charleroi,BEL-Pro League,19.38,39.31,40.89,46.18,77.04,47.66
Club Brugge,BEL-Pro League,63.91,66.22,29.97,67.23,13.04,46.2
Eupen,BEL-Pro League,26.15,24.52,57.0,50.19,56.1,46.51
Genk,BEL-Pro League,74.79,37.85,31.09,56.92,16.56,33.56
Gent,BEL-Pro League,60.51,47.88,51.19,56.35,25.81,84.91
Kortrijk,BEL-Pro League,10.26,14.45,44.49,40.04,99.53,37.17
Mechelen,BEL-Pro League,28.31,48.55,29.95,60.19,65.06,51.87
OH Leuven,BEL-Pro League,35.87,55.14,52.98,38.21,40.42,54.27
RWD Molenbeek,BEL-Pro League,17.84,19.97,32.98,43.34,46.37,32.89
Sint-Truiden,BEL-Pro League,31.06,30.51,33.23,74.7,42.96,67.84
Standard Liège,BEL-Pro League,31.12,38.86,35.27,56.51,41.07,36.48
Union SG,BEL-Pro League,71.42,61.38,27.15,47.98,12.02,16.23
Westerlo,BEL-Pro League,28.67,42.3,40.52,55.6,75.25,45.92
Atalanta,ITA-Serie A,42.91,78.63,15.51,71.35,47.17,36.32
Bologna,ITA-Serie A,29.25,63.98,31.78,89.97,67.45,27.63
Cagliari,ITA-Serie A,16.94,35.01,52.89,36.02,38.67,77.7
Empoli,ITA-Serie A,33.3,44.63,63.71,47.88,43.38,25.77
Fiorentina,ITA-Serie A,70.23,13.65,38.51,67.37,50.31,44.23
Frosinone,ITA-Serie A,38.1,30.08,36.78,63.38,53.98,9.37
Genoa,ITA-Serie A,17.28,71.2,36.87,50.27,63.23,30.49
Hellas Verona,ITA-Serie A,35.27,35.7,37.91,31.02,51.72,85.13
Inter,ITA-Serie A,28.14,80.8,55.02,84.5,26.05,46.12
Juventus,ITA-Serie A,23.87,100.0,41.3,69.52,23.18,58.31
Lazio,ITA-Serie A,27.5,51.03,61.04,77.52,52.67,18.8
Lecce,ITA-Serie A,27.93,44.38,29.99,50.03,30.24,44.01
Milan,ITA-Serie A,31.56,50.5,66.48,86.18,19.94,23.92
Monza,ITA-Serie A,20.16,47.81,35.44,80.72,44.78,38.67
Napoli,ITA-Serie A,68.16,38.82,44.26,85.32,37.08,63.91
Roma,ITA-Serie A,36.16,67.99,52.93,80.84,30.96,31.55
Salernitana,ITA-Serie A,5.18,20.3,43.91,54.39,71.4,52.35
Sassuolo,ITA-Serie A,21.79,34.44,49.68,50.56,45.53,51.74
Torino,ITA-Serie A,24.24,61.07,18.08,68.24,65.27,34.29
Udinese,ITA-Serie A,1.58,56.92,33.39,42.68,38.22,62.91
Augsburg,GER-Bundesliga,30.69,26.29,59.87,43.05,3.92,35.86
Bayern Munich,GER-Bundesliga,67.49,53.21,31.74,95.88,21.34,20.38
Bochum,GER-Bundesliga,56.18,3.78,42.24,17.11,11.34,22.06
Darmstadt 98,GER-Bundesliga,18.56,5.82,7.51,47.64,49.0,43.45
Dortmund,GER-Bundesliga,28.64,26.32,30.06,81.76,17.68,39.3
Eint Frankfurt,GER-Bundesliga,41.34,38.29,24.52,72.59,4.11,13.11
Freiburg,GER-Bundesliga,25.38,26.18,8.06,56.06,31.38,27.72
Gladbach,GER-Bundesliga,0.0,46.33,12.34,69.67,13.59,23.81
Heidenheim,GER-Bundesliga,21.58,23.31,12.25,30.98,31.72,60.14
Hoffenheim,GER-Bundesliga,15.82,25.24,28.51,58.02,29.39,24.22
