rank,team,rating,ranking change 7 days,id,League,Unnamed: 6,Unnamed: 7,Unnamed: 8
1,Manchester City,100.0,0,a3nyxabgsqlnqfkeg41m6tnpp,Premier League,,,
2,Real Madrid,98.0,0,3kq9cckrnlogidldtdie2fkbl,La Liga,,,
3,Internazionale,97.6,0,3vo5mpj7catp66nrwwqiuhuup,Serie A,,,
4,PSG,95.5,0,2b3mar72yy8d6uvat1ka6tn3r,Ligue 1,,,
5,Arsenal,95.0,2,4dsgumo7d4zupm2ugsvm4zm4d,Premier League,,,
6,Bayer Leverkusen,94.5,0,7ad69ngbpjuyzv96drf8d9sn2,Bundesliga,,,
7,Bayern München,94.3,1,apoawtpvac4zqlancmvw4nk4o,Bundesliga,,,
8,Liverpool,93.9,-3,c8h9bw1l82s06h77xxrelzhur,Premier League,,,
9,Barcelona,93.0,0,agh9ifb2mw3ivjusgedj7c3fe,La Liga,,,
10,RB Leipzig,92.3,1,9gefq4dz9b2hl8rqrxwrlrzmp,Bundesliga,,,
11,Borussia Dortmund,92.2,-1,dt4pinj0vw0t0cvz7za6mhmzy,Bundesliga,,,
12,Atalanta,91.1,0,e75syeuawg3ql8nwpi3vr2btz,Serie A,,,
13,Milan,90.5,0,9dntj5dioj5ex52yrgwzxrq9l,Serie A,,,
14,Atlético Madrid,90.5,3,4ku8o6uf87yd8iecdalipo6wd,La Liga,,,
15,Sporting CP,90.4,-1,7catg5lpivcmpf4xhggh6d8rk,Premiere Liga,,,
16,Juventus,90.2,-1,bqbbqm98ud8obe45ds9ohgyrd,Serie A,,,
17,Aston Villa,90.0,-1,b496gs285it6bheuikox6z9mj,Premier League,,,
18,Roma,89.8,2,2tk2l9sgktwc9jhzqdd4mpdtb,Serie A,,,
19,Benfica,89.6,2,9ldqu49smv1xg2va0n2cy28zl,Premiere Liga,,,
20,Tottenham Hotspur,89.4,-2,22doj4sgsocqpxw45h607udje,Premier League,,,
21,PSV,89.0,2,24fvcruwqrqvqa3aonf8c3zuy,Eredivisie,,,
22,Newcastle United,89.0,-3,7vn2i2kd35zuetw6b38gw9jsz,Premier League,,,
23,Stuttgart,88.8,3,3dwlvz6cl4lcavvrg0y2dycrt,Bundesliga,,,
24,Girona,88.8,7,7h7eg7q7dbwvzww78h9d5eh0h,La Liga,,,
25,Bologna,88.7,-3,ej5er0oyngdw138yuumwqbyqt,Serie A,,,
26,Porto,88.6,-2,66bsnl0zjb7l5akwo00h0y5me,Premiere Liga,,,
27,Lille,88.5,0,be2k34rut1lz79jxenabttqlc,Ligue 1,,,
28,Manchester United,88.4,0,6eqit8ye8aomdsrrq0hk3v7gh,Premier League,,,
29,Napoli,88.3,0,gi0l1habji5hpgar77dl5jqe,Serie A,,,
30,Athletic Club,88.3,-5,3czravw89omgc9o4s0w3l1bg5,La Liga,,,
31,Monaco,88.2,1,4t4hod56fsj7utpjdor8so5q6,Ligue 1,,,
32,Chelsea,88.2,2,9q0arba2kbnywth8bkxlhgmdr,Premier League,,,
33,Lazio,88.2,0,btcy9nra9ak4m22ovr2ia6m5v,Serie A,,,
34,Real Sociedad,88.2,-4,63f5h8t5e9qm1fqmvfkb23ghh,La Liga,,,
35,Club Brugge,88.0,2,1oyb7oym5nwzny8vxf03szd2h,Belgian Pro League,,,
36,Feyenoord,87.1,2,20vymiy7bo8wkyxai3ew494fz,Eredivisie,,,
37,Olympique Marseille,86.9,2,27xvwccz8kpmqsefjv2b2sc0o,Ligue 1,,,
38,Lens,86.7,-2,3xedluek08t2ka7oypwuullcn,Ligue 1,,,
39,Villarreal,86.7,2,74mcjsm72vr3l9pw2i4qfjchj,La Liga,,,
40,Nice,86.4,6,bx0cdmzr2gwr70ez72dorx82p,Ligue 1,,,
42,Brighton & Hove Albion,86.3,-7,e5p0ehyguld7egzhiedpdnc3w,Premier League,,,
43,Rennes,86.1,-3,z1wbqtd0fz5t5eezjvrbld3h,Ligue 1,,,
44,West Ham United,86.1,-1,4txjdaqveermfryvbfrr4taf7,Premier League,,,
45,Fiorentina,86.0,-1,4raiad4l2j5lkfaz92pk4osb,Serie A,,,
46,Brest,85.8,3,3adj8hkws0z1al232bg2h6tk0,Ligue 1,,,
48,Union Saint-Gilloise,85.7,12,ecj1gmc7pqcjo4sc9hvghj5u3,Belgian Pro League,,,
50,AFC Bournemouth,85.3,12,1pse9ta7a45pi2w2grjim70ge,Premier League,,,
51,Olympique Lyonnais,85.3,3,121le8unjfzug3iu9pgkqa1c7,Ligue 1,,,
52,Real Betis,85.1,-2,ah8dala7suqqkj04n2l8xz4zd,La Liga,,,
53,Brentford,85.1,-5,7yx5dqhhphyvfisohikodajhv,Premier League,,,
54,Fulham,85.1,-3,hzqh7z0mdl3v7gwete66syxp,Premier League,,,
55,Crystal Palace,85.1,6,1c8m2ko0wxq1asfkuykurdr0y,Premier League,,,
56,Everton,85.0,7,ehd2iemqmschhj2ec0vayztzz,Premier League,,,
57,Torino,84.9,-5,7gnly6999wao1xarwct4p8fe9,Serie A,,,
58,Sevilla,84.9,-3,10eyb18v5puw4ez03ocaug09m,La Liga,,,
59,Eintracht Frankfurt,84.4,-2,c5hderjlkcoaze51e5wgvptk,Bundesliga,,,
60,Wolverhampton Wanderers,84.4,-4,b9si1jn1lfxfund69e9ogcu2n,Premier League,,,
61,Valencia,84.3,-2,ba5e91hjacvma2sjvixn00pjo,La Liga,,,
62,Anderlecht,84.1,2,6vyr13j6kbwdtxjwm1m4m8nu2,Belgian Pro League,,,
64,Freiburg,84.0,-6,6k5zscdm9ufw0tguvzyjlp5hq,Bundesliga,,,
65,Toulouse,83.7,4,4aghw9tyi8ba3ju1ne83gmf9w,Ligue 1,,,
67,Getafe,83.4,7,1n1j0wsl763lq7ee1k0c11c02,La Liga,,,
69,Sporting Braga,83.4,-3,26t6lvlpql4w5wu1ih73qpy36,Premiere Liga,,,
70,Monza,83.4,-2,67z1gqyiuzpmmb15q5fy7ntc4,Serie A,,,
75,Montpellier,82.9,-4,2cjpmotqo8phcqfpgo9xf4gel,Ligue 1,,,
76,Wolfsburg,82.6,16,a8l3w3n0j99qjlsxj3jnmgkz1,Bundesliga,,,
77,Mallorca,82.6,3,50x1m4u58lffhq6v6ga1hbxmy,La Liga,,,
80,Strasbourg,82.4,-7,71ajatxnuhc5cnm3xvgdky49w,Ligue 1,,,
81,Gent,82.4,6,8y3iucyxguipljcmf87a11bk9,Belgian Pro League,,,
83,Leicester City,82.3,18,avxknfz4f6ob0rv9dbnxdzde0,Championship,,,
84,Werder Bremen,82.3,21,cu0eztmjcsbydyp53aleznorw,Bundesliga,,,
87,Borussia M'gladbach,82.1,1,go76xxm0xyfgqt1h6tcrtimm,Bundesliga,,,
88,Hoffenheim,82.1,-7,4l9mrqzmajz5crzlz50mtbt6x,Bundesliga,,,
89,Celta de Vigo,82.0,-10,6f27yvbqcngegwsg2ozxxdj4,La Liga,,,
92,Union Berlin,81.9,8,a8d2gb2nag8fy0itbuxmcibh2,Bundesliga,,,
94,Mainz 05,81.9,-1,1c7qokc1j5z50cjj4tcu32haa,Bundesliga,,,
95,Palmeiras,81.9,37,b9d2xcvxxcwplyp4le9ulnlv9,Brazillian League,,,
96,Genoa,81.9,7,4kumqzwifv478caxed8zywlh3,Serie A,,,
97,Atlético Mineiro,81.8,37,1f6qzkdjh8fih5ii1eyqmkolq,Brazillian League,,,
98,Deportivo Alavés,81.7,13,4dtdjgnpdq9uw4sdutti0vaar,La Liga,,,
99,Nottingham Forest,81.7,-1,1qtaiy11gswx327s0vkibf70n,Premier League,,,
100,Heidenheim,81.7,7,3xcg7xikgrn2x8oa65sopb2is,Bundesliga,,,
101,Reims,81.7,-15,3c3jcs7vc1t6vz5lev162jyv7,Ligue 1,,,
102,Rayo Vallecano,81.7,-6,3budh3j9xivsid3ptm8ptpy4k,La Liga,,,
103,Osasuna,81.7,-18,2l0ldgiwsgb8d6y3z0sfgjzyj,La Liga,,,
104,Genk,81.6,-27,89xivtxk59uzvhdsd6miao6tm,Belgian Pro League,,,
