league,season,team,players_used,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,url,League,season,players_used,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,url,League,season,players_used,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,url,League,season,players_used,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,url,League,season,players_used,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,url,League,season,players_used,Poss,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,url,League,season,players_used,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,url,League
ENG-Premier League,2324,Arsenal,25,38,86,647,209,32.3,17.03,5.5,0.12,0.36,15.8,6,10,10,76.0,68.3,0.11,10.0,7.7,/en/squads/18bb7c10/Arsenal-Stats,ENG-Premier League,2324,25,38,1185,31.18,926,82,58,66,33,20,152,4.0,104,16,8,11,13,0,/en/squads/18bb7c10/Arsenal-Stats,ENG-Premier League,2324,25,38,610,348,257,246,107,271,543,49.9,272,412,106,306,292,902,515,18,/en/squads/18bb7c10/Arsenal-Stats,ENG-Premier League,2324,25,38,64,2,1,391,394,87,670,292,348,9,3,1,1752,503,499,50.2,/en/squads/18bb7c10/Arsenal-Stats,ENG-Premier League,2324,25,38,19094,22558,84.6,309533,102210,9719,10643,91.3,7809,8765,89.1,1178,2162,54.5,62,55.2,57.8,6.8,513,1546,548,68,2106,/en/squads/18bb7c10/Arsenal-Stats,ENG-Premier League,2324,25,58.2,38,26492,1974,6713,11407,8560,1480,26482,671,283,42.2,304,45.3,16297,81175,41592,823,577,329,525,375,18919,2088,/en/squads/18bb7c10/Arsenal-Stats,ENG-Premier League,2324,25,38,22558,20941,1530,443,104,65,670,560,265,217,1,0,19094,87,319,/en/squads/18bb7c10/Arsenal-Stats,ENG-Premier League
ENG-Premier League,2324,Aston Villa,31,38,72,511,182,35.6,13.45,4.79,0.13,0.37,16.0,15,4,4,63.4,60.3,0.12,8.6,7.7,/en/squads/8602292d/Aston-Villa-Stats,ENG-Premier League,2324,31,38,912,24.0,670,77,47,73,31,14,129,3.39,92,8,8,10,8,3,/en/squads/8602292d/Aston-Villa-Stats,ENG-Premier League,2324,31,38,547,311,269,210,68,260,550,47.3,290,389,113,276,236,783,597,13,/en/squads/8602292d/Aston-Villa-Stats,ENG-Premier League,2324,31,38,94,2,0,412,473,47,650,236,311,4,2,4,1619,334,363,47.9,/en/squads/8602292d/Aston-Villa-Stats,ENG-Premier League,2324,31,38,16133,19363,83.3,281126,95294,7111,7879,90.3,7380,8272,89.2,1330,2368,56.2,55,48.6,42.5,6.4,398,1160,363,67,1451,/en/squads/8602292d/Aston-Villa-Stats,ENG-Premier League,2324,31,53.1,38,23058,2806,8170,9636,5459,1010,23054,758,346,45.6,315,41.6,14452,78694,41258,775,491,217,477,415,15826,1438,/en/squads/8602292d/Aston-Villa-Stats,ENG-Premier League,2324,31,38,19363,17499,1817,628,80,95,650,613,231,149,15,2,16133,47,343,/en/squads/8602292d/Aston-Villa-Stats,ENG-Premier League
ENG-Premier League,2324,Bournemouth,30,38,52,539,175,32.5,14.18,4.61,0.09,0.29,16.7,18,2,3,55.9,53.5,0.1,-3.9,-3.5,/en/squads/4ba7cbea/Bournemouth-Stats,ENG-Premier League,2324,30,38,952,25.05,700,70,64,57,34,27,83,2.18,62,3,5,6,3,4,/en/squads/4ba7cbea/Bournemouth-Stats,ENG-Premier League,2324,30,38,693,410,301,281,111,325,688,47.2,363,504,153,351,357,1050,817,16,/en/squads/4ba7cbea/Bournemouth-Stats,ENG-Premier League,2324,30,38,79,3,0,507,376,56,709,357,410,3,7,1,2013,582,671,46.4,/en/squads/4ba7cbea/Bournemouth-Stats,ENG-Premier League,2324,30,38,11899,15920,74.7,220978,83235,4976,5868,84.8,5270,6214,84.8,1393,2964,47.0,39,40.4,33.7,-1.4,414,1074,352,88,1314,/en/squads/4ba7cbea/Bournemouth-Stats,ENG-Premier League,2324,30,44.4,38,20702,2487,6821,8470,5686,1033,20699,872,382,43.8,414,47.5,11013,66339,34618,709,512,240,637,386,11772,1296,/en/squads/4ba7cbea/Bournemouth-Stats,ENG-Premier League,2324,30,38,15920,14065,1799,419,48,91,709,774,235,192,9,4,11899,56,361,/en/squads/4ba7cbea/Bournemouth-Stats,ENG-Premier League
ENG-Premier League,2324,Brentford,28,38,54,470,159,33.8,12.37,4.18,0.11,0.32,15.6,17,3,3,58.2,56.0,0.12,-4.2,-5.0,/en/squads/cd051869/Brentford-Stats,ENG-Premier League,2324,28,38,804,21.16,557,102,34,55,42,14,81,2.13,57,7,3,8,6,0,/en/squads/cd051869/Brentford-Stats,ENG-Premier League,2324,28,38,677,399,349,250,78,317,697,45.5,380,474,142,332,378,1055,903,18,/en/squads/cd051869/Brentford-Stats,ENG-Premier League,2324,28,38,89,2,0,385,419,70,706,378,399,3,2,0,1892,632,607,51.0,/en/squads/cd051869/Brentford-Stats,ENG-Premier League,2324,28,38,12551,16818,74.6,225971,88492,5616,6628,84.7,5236,6432,81.4,1382,2776,49.8,38,42.7,40.0,-4.7,332,965,333,106,1283,/en/squads/cd051869/Brentford-Stats,ENG-Premier League,2324,28,45.2,38,21226,2878,7944,8252,5210,982,21223,577,243,42.1,269,46.6,10971,56642,29415,505,362,156,556,271,12418,1276,/en/squads/cd051869/Brentford-Stats,ENG-Premier League,2324,28,38,16818,14996,1752,464,70,113,706,683,184,79,51,10,12551,70,357,/en/squads/cd051869/Brentford-Stats,ENG-Premier League
ENG-Premier League,2324,Brighton,30,38,50,555,198,35.7,14.61,5.21,0.08,0.23,16.6,11,5,6,56.8,52.2,0.1,-6.8,-7.2,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,ENG-Premier League,2324,30,38,1010,26.58,749,87,54,71,38,11,89,2.34,59,5,9,9,6,1,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,ENG-Premier League,2324,30,38,643,366,291,252,100,306,656,46.6,350,435,139,296,288,931,602,21,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,ENG-Premier League,2324,30,38,90,3,0,414,454,84,671,288,366,6,6,2,1749,405,342,54.2,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,ENG-Premier League,2324,30,38,21798,25013,87.1,340908,113690,11568,12465,92.8,8256,9119,90.5,1296,2164,59.9,36,41.6,43.7,-5.6,429,1484,384,81,1781,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,ENG-Premier League,2324,30,59.8,38,29085,3195,9443,13075,6760,1079,29079,715,297,41.5,322,45.0,19005,92970,48874,864,584,269,575,342,21557,1768,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,ENG-Premier League,2324,30,38,25013,23318,1611,511,62,76,671,541,206,86,73,5,21798,84,327,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,ENG-Premier League
ENG-Premier League,2324,Burnley,31,38,40,430,137,31.9,11.32,3.61,0.09,0.27,17.7,13,3,3,40.6,38.3,0.09,-0.6,-1.3,/en/squads/943e8050/Burnley-Stats,ENG-Premier League,2324,31,38,757,19.92,549,74,49,45,31,9,74,1.95,55,6,8,2,3,0,/en/squads/943e8050/Burnley-Stats,ENG-Premier League,2324,31,38,604,339,281,246,77,283,582,48.6,299,477,169,308,278,882,838,22,/en/squads/943e8050/Burnley-Stats,ENG-Premier League,2324,31,38,77,7,3,429,353,76,549,278,339,3,7,3,1727,559,695,44.6,/en/squads/943e8050/Burnley-Stats,ENG-Premier League,2324,31,38,13933,17955,77.6,246004,83563,6310,7264,86.9,6013,7041,85.4,1325,2756,48.1,30,29.7,26.6,0.3,326,974,216,54,1179,/en/squads/943e8050/Burnley-Stats,ENG-Premier League,2324,31,47.4,38,22171,2906,8016,9194,5152,815,22168,699,299,42.8,330,47.2,12240,66866,35411,726,460,238,515,297,13777,1160,/en/squads/943e8050/Burnley-Stats,ENG-Premier League,2324,31,38,17955,16185,1694,445,49,77,549,670,180,67,58,9,13933,76,344,/en/squads/943e8050/Burnley-Stats,ENG-Premier League
ENG-Premier League,2324,Chelsea,32,38,76,537,194,36.1,14.13,5.11,0.12,0.34,17.3,22,11,12,74.4,65.0,0.12,1.6,0.0,/en/squads/cff3d9bb/Chelsea-Stats,ENG-Premier League,2324,32,38,979,25.76,720,61,76,46,50,26,133,3.5,89,7,11,10,12,4,/en/squads/cff3d9bb/Chelsea-Stats,ENG-Premier League,2324,32,38,664,377,325,236,103,323,630,51.3,307,446,163,283,300,964,782,24,/en/squads/cff3d9bb/Chelsea-Stats,ENG-Premier League,2324,32,38,109,4,2,446,451,85,558,300,377,11,5,3,1844,439,401,52.3,/en/squads/cff3d9bb/Chelsea-Stats,ENG-Premier League,2324,32,38,20037,23362,85.8,328410,109832,10006,10877,92.0,8174,9059,90.2,1365,2327,58.7,51,51.3,43.0,-0.3,419,1351,352,51,1614,/en/squads/cff3d9bb/Chelsea-Stats,ENG-Premier League,2324,32,58.6,38,27722,3031,9362,12070,6557,1039,27710,867,398,45.9,363,41.9,16615,84449,44045,872,542,290,605,371,19897,1599,/en/squads/cff3d9bb/Chelsea-Stats,ENG-Premier League,2324,32,38,23362,21586,1691,496,115,101,558,610,202,78,55,4,20037,85,348,/en/squads/cff3d9bb/Chelsea-Stats,ENG-Premier League
ENG-Premier League,2324,Crystal Palace,26,38,56,452,162,35.8,11.89,4.26,0.12,0.32,17.2,20,4,4,48.6,45.4,0.1,7.4,6.6,/en/squads/47c64c55/Crystal-Palace-Stats,ENG-Premier League,2324,26,38,794,20.89,554,74,48,50,45,23,103,2.71,85,4,6,2,6,0,/en/squads/47c64c55/Crystal-Palace-Stats,ENG-Premier League,2324,26,38,788,464,373,301,114,337,609,55.3,272,456,122,334,323,1111,927,6,/en/squads/47c64c55/Crystal-Palace-Stats,ENG-Premier League,2324,26,38,73,2,2,457,427,72,583,323,464,4,3,2,1909,553,555,49.9,/en/squads/47c64c55/Crystal-Palace-Stats,ENG-Premier League,2324,26,38,12915,16754,77.1,225542,84922,6040,6920,87.3,5338,6287,84.9,1204,2608,46.2,43,38.7,31.5,4.3,353,995,273,60,1176,/en/squads/47c64c55/Crystal-Palace-Stats,ENG-Premier League,2324,26,42.3,38,21368,2349,7237,9278,5079,797,21364,737,341,46.3,320,43.4,10948,55625,26848,505,384,170,606,426,12814,1161,/en/squads/47c64c55/Crystal-Palace-Stats,ENG-Premier League,2324,26,38,16754,14948,1734,484,52,97,583,721,178,81,57,6,12915,72,366,/en/squads/47c64c55/Crystal-Palace-Stats,ENG-Premier League
ENG-Premier League,2324,Everton,26,38,40,504,152,30.2,13.26,4.0,0.08,0.25,16.7,14,2,3,53.9,51.5,0.11,-13.9,-13.5,/en/squads/d3fd31cc/Everton-Stats,ENG-Premier League,2324,26,38,854,22.47,592,82,31,76,41,32,60,1.58,33,5,0,13,5,4,/en/squads/d3fd31cc/Everton-Stats,ENG-Premier League,2324,26,38,743,442,371,261,111,347,701,49.5,354,479,177,302,358,1101,882,12,/en/squads/d3fd31cc/Everton-Stats,ENG-Premier League,2324,26,38,82,1,1,457,361,89,752,358,442,2,8,3,1970,676,577,54.0,/en/squads/d3fd31cc/Everton-Stats,ENG-Premier League,2324,26,38,11349,15514,73.2,208537,88374,5198,6091,85.3,4386,5405,81.1,1469,3057,48.1,17,38.1,31.8,-21.1,339,958,284,77,1129,/en/squads/d3fd31cc/Everton-Stats,ENG-Premier League,2324,26,40.8,38,20052,2568,6792,8180,5283,809,20049,564,250,44.3,267,47.3,9771,52161,25909,495,389,127,560,320,11254,1119,/en/squads/d3fd31cc/Everton-Stats,ENG-Premier League,2324,26,38,15514,13704,1721,409,45,78,752,768,181,140,26,3,11349,89,347,/en/squads/d3fd31cc/Everton-Stats,ENG-Premier League
ENG-Premier League,2324,Fulham,25,38,54,498,174,34.9,13.11,4.58,0.1,0.3,16.9,13,2,2,50.8,49.2,0.1,3.2,2.8,/en/squads/fd962109/Fulham-Stats,ENG-Premier League,2324,25,38,876,23.05,651,79,40,67,24,15,95,2.5,73,6,4,8,3,1,/en/squads/fd962109/Fulham-Stats,ENG-Premier League,2324,25,38,677,382,339,258,80,345,676,51.0,331,438,117,321,371,1048,744,14,/en/squads/fd962109/Fulham-Stats,ENG-Premier League,2324,25,38,84,4,3,384,364,51,736,371,382,2,8,4,1837,486,507,48.9,/en/squads/fd962109/Fulham-Stats,ENG-Premier League,2324,25,38,16305,20230,80.6,290241,100590,7021,7898,88.9,7277,8348,87.2,1587,2853,55.6,40,37.6,33.6,2.4,379,1118,355,94,1466,/en/squads/fd962109/Fulham-Stats,ENG-Premier League,2324,25,50.6,38,24310,2791,8616,10353,5569,849,24308,549,271,49.4,232,42.3,13866,72595,36778,670,509,151,520,325,16178,1452,/en/squads/fd962109/Fulham-Stats,ENG-Premier League,2324,25,38,20230,18406,1773,465,58,118,736,696,212,70,98,1,16305,51,421,/en/squads/fd962109/Fulham-Stats,ENG-Premier League
